tconst	averageRating	numVotes
tt0002550	5.2	25
tt0002553	6.6	681
tt0002555	5.0	24
tt0002556	5.6	16
tt0002562	4.8	9
tt0002569	5.3	181
tt0002574	6.6	8
tt0002576	4.7	29
tt0002582	8.9	11
tt0002588	6.8	10
tt0002592	7.3	12
tt0002593	6.0	5
tt0002601	5.0	25
tt0002603	5.1	15
tt0002605	5.6	17
tt0002610	5.0	100
tt0002621	5.2	62
tt0002628	5.7	61
tt0002639	6.2	128
tt0002646	6.7	303
tt0002656	5.5	15
tt0002658	4.0	30
tt0002659	5.4	659
tt0002663	6.1	307
tt0002669	6.2	19
tt0002678	5.9	11
tt0002687	7.8	10
tt0002702	4.7	16
tt0002718	3.8	11
tt0002719	5.5	62
tt0002726	4.8	5
tt0002736	6.2	8
tt0002745	3.8	12
tt0002753	5.6	8
tt0002755	4.5	19
tt0002759	5.9	15
tt0002761	4.1	11
tt0002767	5.4	34
tt0002784	5.1	27
tt0002795	6.1	450
tt0002797	5.3	7
tt0002801	5.1	14
tt0002813	5.2	198
tt0002815	3.8	11
tt0002816	5.9	83
tt0002822	4.2	25
tt0002829	4.6	10
tt0002832	7.0	11
tt0002844	7.0	1829
tt0002847	5.1	13
tt0002848	4.3	10
tt0002850	6.1	9
tt0002851	5.4	289
tt0002853	4.2	20
tt0002863	6.8	34
tt0002867	5.6	93
tt0002885	5.9	86
tt0002893	6.0	8
tt0002894	6.0	7
tt0002897	5.6	28
tt0002898	6.9	83
tt0002902	4.5	11
tt0002910	6.1	61
tt0002917	5.7	23
tt0002919	4.7	53
tt0002921	3.9	8
tt0002922	4.8	34
tt0002956	5.0	35
tt0002968	4.6	5
tt0002973	5.2	6
tt0002983	6.0	315
tt0002985	6.2	271
tt0002990	5.5	114
tt0002996	4.2	18
tt0002999	6.2	11
tt0003001	4.7	10
tt0003006	5.9	9
tt0003014	7.1	872
tt0003015	4.5	36
tt0003016	5.5	61
tt0003022	5.4	40
tt0003035	5.6	8
tt0003037	7.0	1276
tt0003044	5.5	13
tt0003046	6.7	47
tt0003054	5.6	8
tt0003057	4.9	7
tt0003059	5.7	26
tt0003065	5.5	73
tt0003073	5.0	20
tt0003075	6.5	13
tt0003078	7.0	11
tt0003083	3.8	5
tt0003093	6.1	11
tt0003102	6.5	87
tt0003104	5.7	234
tt0003106	5.8	67
tt0003112	6.4	7
tt0003131	6.7	109
tt0003133	5.7	11
tt0003156	5.6	10
tt0003158	5.6	10
tt0003159	5.7	20
tt0003165	7.0	985
tt0003167	5.7	169
tt0003170	6.4	675
tt0003177	4.5	111
tt0003207	4.8	5
tt0003212	5.2	13
tt0003214	6.3	195
